раушан,B1,0
тер,B1,d
терлі,B2,A2
мүйіз,B1,0
тұяқ,A2,0
қыстау,B1,d
күздеу,B1,0
көрікті,A2,u
әдемі,B1,d
сұлу,A2,0
қарапайым,A1,0
шындық,A2,d
шын,A1,0
ақиқат,A2,0
қарт,B1,0
қария,B2,d
әже,A1,0
құрмет,B2,d
қадір,A2,u
сый,A2,0
себеп,A2,0
айтыс,A2,0
дау,A1,u
талас,B1,0
ұрыс,B1,0
басу,B1,d
баспана,B1,0
ғасыр,A1,0
азық,B1,A1
азық-түлік,A1,0
мал,C1,A2
шаруашылық,B1,0
тұрақ,A1,0
шақ,B1,0
мерзім,A1,0
мекен,B1,p
қоныс,A1,p
арба,B1,0
ханшайым,B1,0
ханзада,B1,0
керуен,B1,0
сауда,A1,0
саудагер,B2,A1
арық,A1,0
жыра,C1,0
ор,B2,0
таяз,B2,d
тартылу,B2,0
сарқылу,B2,0
маңызсыз,C1,B1
үстірт,B2,u
қамыс,B1,0
көл,A1,0
жағалау,A1,0
жаға,A2,d
жиек,B2,0
шағала,B1,d
сен,A1,0
сіз,A1,0
көркем,B2,d
шыншыл,C1,d
таныстыру,A2,0
бедел,A2,0
абырой,A2,0
теріс,B2,d
қымсыну,C1,0
қызарушылық,B2,0
ауырлық,B2,0
жаcқаншақтық,B2,0
жасқаншақ,B2,0
ұялшақтық,B2,d
міндет,B1,0
парыз,B1,p
ойымша,A2,d
пікір,A2,0
көзқарас,A2,0
теке,A1,0
тіркелу,A1,0
айлакер,B2,d
сескену,B2,0
қанағат,B2,0
қанағатсыз,C1,d
жұмсау,B1,0
ау,A2,0
деңгей,A2,0
қимыл,A2,0
қайын,B1,0
мәлімет,B2,0
қайнау,B1,0
арту,A1,0
ешкі,A1,0
байқау,A2,0
жайылым,B1,0
тұздық,C1,d
тапсырыс,A2,0
аң аулау,B1,0
аңшылық,C1,0
құрлық,A2,0
ат,B1,d
шошқа,A2,0
қоян,A1,0
өрмелеу,B1,0
сұрақ қою,A1,0
қақпан,B1,0
тосқауыл,B1,0
жабайы,A1,0
азаю,A1,0
шамалы,B2,0
шағын,A1,0
аяу,A2,0
жойылу,A2,0
жою,B1,0
қону,B1,0
дария,B1,0
біз,A1,0
шаруа,A1,0
сірә,B1,u
жыр,A2,0
жыршы,B2,A2
жырау,A2,0
мәдениет,B2,d
мәдениетті,B1,0
құжат,B2,0
қолжазба,A2,0
қолхат,B2,0
қымбат,A1,0
бағалы,B1,d
баға,A1,0
мұра,A2,u
мирас,A2,u
таңғалу,A2,0
таңдану,B2,0
тиын,A2,0
негізгі,B2,0
басты,B1,0
маңыз,B2,0
ескерткіш,A1,0
естелік,B1,0
құрылысшы,B1,0
құрылыс,B1,0
құрау,A1,0
ұшқыш,B1,0
сату,B1,0
жүргізуші,A1,0
