буыну,B1,0
прагматикалық,B1,B2
қарастырылу,B1,0
археологиялық,B2,0
думан,B2,d
қошеметтеу,A2,u
графика,B2,0
небәрі,B2,d
ұқсату,B2,d
діңгек,B1,0
сомдау,B2,u
үю,B2,0
сөйтіп,A2,u
кальций,B2,0
үлгерім,B2,d
шаттық,B2,0
тексерілу,B2,d
әлдене,B2,d
танау,B2,A2
шылау,B2,0
ерен,B2,0
қарулану,B2,d
жүйелеу,B1,0
жарысу,B2,A2
ұқтыру,B1,0
биржа,B1,u
қарар,B2,0
ойласу,B2,d
макроэкономика,B1,u
килограмм,B2,A2
үйір,B2,d
тәте,B1,A1
құрт,B1,d
есу,B2,0
құлан,B2,d
тосын,B1,u
башқұрт,B2,d
бейнелі,B1,u
есею,B2,d
пейіл,B2,0
семіз,B2,A2
өрбіу,B1,u
білу,B1,A2
түсім,B1,0
таспа,B2,u
таму,B1,0
жадырау,B2,d
геологиялық,B2,0
кәде,B2,0
комсомол,B2,0
жұғу,B2,d
хош,B1,u
дәлдік,B2,d
маржан,B2,0
былтырғы,B2,A2
ізгі,B1,0
әтеш,B1,d
ведомстволық,B2,0
мадақтау,B2,d
бұрылыс,B1,A2
параметр,B2,d
серке,B2,A2
будандастыру,B2,0
қайғыру,B1,0
өздігінен,B2,d
өмірлік,B1,0
теңестірілу,B2,d
масштаб,B2,d
канал,B2,A2
түсте,B2,A2
зәре,B1,u
леп,B1,u
еңсе,B2,u
артылу,B1,0
аккредиттеу,B1,u
небір,B1,u
айбын,B1,0
бөлену,B1,u
бекіу,B1,
зейін,B2,0
мұндағы,B1,0
әдебиетші,B1,0
шатақ,A2,B2
дорба,B1,d
тақырыптық,B2,0
жапон,B1,0
саңырауқұлақ,B2,A2
менен,B1,C1
қамтию,A2,
азбан,A2,u
композиция,B2,0
қарсаң,B1,0
қатыгез,B2,d
физик,B2,d
жаршы,B1,0
безу,B2,u
толағай,B2,0
қорек,B2,d
өтеу,B1,0
дуал,B2,d
алюминий,B2,0
қолжетімділік,B1,0
тұрақтау,B2,d
іссапар,B2,d
шыр,B2,0
наным,B2,0
мұнай-газ,B1,0
құйын,B1,0
құлпыру,B1,0
жиек,B2,d
ардақтау,B2,0
мойыу,B1,
алтыбақан,B2,d
ескек,B1,u
ертедегі,B2,d
